FID,OBJECTID,StopID,Latitude,Longitude,Name,CleverID,Zone_,Direction,Routes_Sor,Mode,Shelter_Pu
0,1,N01830,40.562401000000001,-79.765800999999996,4TH AVE AT 7TH ST,12659.000000000000000,2,Both,1,Bus,No Shelter
1,2,N01935,40.564076000000000,-79.766176999999999,4TH AVE AT CENTRAL CITY PLAZA,12658.000000000000000,2,Both,1,Bus,No Shelter
2,3,N03995,40.562342999999998,-79.765974999999997,7TH ST OPP NEW KEN HOSPITAL,12660.000000000000000,2,Both,1,Bus,No Shelter
3,4,N04230,40.565044999999998,-79.767009999999999,9TH ST AT CENTRAL CITY PLAZA,12657.000000000000000,2,Both,1,Bus,No Shelter
4,5,N12510,40.493353999999997,-79.948131000000004,BUTLER ST AT #188,2419.000000000000000,1,Outbound,1,Bus,No Shelter
5,6,N18335,40.601098999999998,-79.756681999999998,E 5TH AVE AT ROSS ST,12833.000000000000000,2,Outbound,1,Bus,No Shelter
6,7,N18340,40.602823999999998,-79.753613999999999,E 6TH AVE AT DICKEY ST,12633.000000000000000,2,Both,1,Bus,No Shelter
7,8,N18360,40.602487000000004,-79.754373000000001,E 6TH AVE AT LOCK ST,12634.000000000000000,2,Both,1,Bus,No Shelter
8,9,N18420,40.602607999999996,-79.755652999999995,E 7TH AVE AT WOOD ST,12635.000000000000000,2,Inbound,1,Bus,No Shelter
9,10,N21810,40.488045000000000,-79.879386999999994,FREEPORT RD AT #1150,12595.000000000000000,1A,Outbound,1,Bus,No Shelter
10,11,N21350,40.489631000000003,-79.872704999999996,FREEPORT RD AT #1372,12598.000000000000000,1A,Outbound,1,Bus,No Shelter
11,12,N21855,40.525517000000001,-79.851074999999994,FREEPORT RD AT #2238,12613.000000000000000,2,Outbound,1,Bus,No Shelter
12,13,N20590,40.491554000000001,-79.865751000000003,FREEPORT RD AT ALPHA DR (RIDC PARK),3192.000000000000000,2,Inbound,1,Bus,No Shelter
13,14,N20600,40.538826000000000,-79.830285000000003,FREEPORT RD AT ALPHA DR E,12689.000000000000000,2,Inbound,1,Bus,No Shelter
14,15,N20710,40.492758000000002,-79.863056000000000,FREEPORT RD AT BLAW AVE,12603.000000000000000,2,Outbound,1,Bus,No Shelter
15,16,N20720,40.498123000000000,-79.854742999999999,FREEPORT RD AT BOYD AVE,3185.000000000000000,2,Inbound,1,Bus,No Shelter
16,17,N20730,40.497895000000000,-79.854819000000006,FREEPORT RD AT BOYD AVE,12608.000000000000000,2,Outbound,1,Bus,No Shelter
17,18,N20840,40.494940999999997,-79.859008000000003,FREEPORT RD AT CABLE AVE,3188.000000000000000,2,Inbound,1,Bus,No Shelter
18,19,N20925,40.492075000000000,-79.864824999999996,FREEPORT RD AT CENTER AVE (BLAWNOX),3191.000000000000000,2,Inbound,1,Bus,No Shelter
19,20,N20940,40.491776000000002,-79.865065999999999,FREEPORT RD AT CENTER AVE (BLAWNOX),12602.000000000000000,2,Outbound,1,Bus,No Shelter
20,21,N21490,40.499713999999997,-79.852862999999999,FREEPORT RD AT CLIFTON AVE,3183.000000000000000,2,Inbound,1,Bus,No Shelter
21,22,N21260,40.538531999999996,-79.832036000000002,FREEPORT RD AT COMFORT INN,3173.000000000000000,2,Inbound,1,Bus,No Shelter
